asv	sample	count
0016b651b5ff829ca13dd04a9190570e	587	43
0025ead91ab648e1549cda1e985db403	617	2032
00282315267b2cd6535b970e94fd47cd	685	30
00282315267b2cd6535b970e94fd47cd	686	6130
002acc817ff73ee7d4528bc0e0ab2bf1	419	7
0034a075a361cc22c006ba13f16f9fe5	462	102
004af060a503c57022cd89c7c63a25ac	380	64
004af060a503c57022cd89c7c63a25ac	382	361
004af060a503c57022cd89c7c63a25ac	383	35
004af060a503c57022cd89c7c63a25ac	390	13
004af060a503c57022cd89c7c63a25ac	398	105
004af060a503c57022cd89c7c63a25ac	454	215
004af060a503c57022cd89c7c63a25ac	462	91
004af060a503c57022cd89c7c63a25ac	472	104
004af060a503c57022cd89c7c63a25ac	480	33
004af060a503c57022cd89c7c63a25ac	565	49
004af060a503c57022cd89c7c63a25ac	575	293
004af060a503c57022cd89c7c63a25ac	588	101
004af060a503c57022cd89c7c63a25ac	651	620
004af060a503c57022cd89c7c63a25ac	652	414
004af060a503c57022cd89c7c63a25ac	653	94
004af060a503c57022cd89c7c63a25ac	655	573
004af060a503c57022cd89c7c63a25ac	664	1054
004af060a503c57022cd89c7c63a25ac	686	36
00502686ed5342b52fdbef21c5f39d3c	399	6
0051213008a5ab7c508edad8a4d074ac	386	14
0051213008a5ab7c508edad8a4d074ac	431	183
0051213008a5ab7c508edad8a4d074ac	492	105
0051213008a5ab7c508edad8a4d074ac	511	34
0051213008a5ab7c508edad8a4d074ac	575	35
0051213008a5ab7c508edad8a4d074ac	655	24
0051213008a5ab7c508edad8a4d074ac	672	948
0051213008a5ab7c508edad8a4d074ac	673	192
005f8f2eced0ed3accd8195c3bb6975b	576	6
005f8f2eced0ed3accd8195c3bb6975b	651	7
006ed7284bda59988c85c814b46559c4	380	503
006ed7284bda59988c85c814b46559c4	383	549
006ed7284bda59988c85c814b46559c4	386	140
006ed7284bda59988c85c814b46559c4	399	1251
006ed7284bda59988c85c814b46559c4	422	369
006ed7284bda59988c85c814b46559c4	424	221
006ed7284bda59988c85c814b46559c4	430	188
006ed7284bda59988c85c814b46559c4	474	2387
006ed7284bda59988c85c814b46559c4	492	40
006ed7284bda59988c85c814b46559c4	547	962
006ed7284bda59988c85c814b46559c4	575	61
006ed7284bda59988c85c814b46559c4	613	187
006ed7284bda59988c85c814b46559c4	615	144
006ed7284bda59988c85c814b46559c4	623	201
006ed7284bda59988c85c814b46559c4	651	12
006ed7284bda59988c85c814b46559c4	654	439
006ed7284bda59988c85c814b46559c4	664	84
006ed7284bda59988c85c814b46559c4	677	53
0083b66eb1da0e9590c83ac8a9e81e6f	664	19
00974a2f47218e28784473ff33f668e0	382	11
00974a2f47218e28784473ff33f668e0	459	4
00974a2f47218e28784473ff33f668e0	653	12
00974a2f47218e28784473ff33f668e0	664	4
00974a2f47218e28784473ff33f668e0	686	6
00bf0958c6275f12aa75f11d79029099	380	314
00bf0958c6275f12aa75f11d79029099	382	321
00bf0958c6275f12aa75f11d79029099	383	43
00bf0958c6275f12aa75f11d79029099	386	61
00bf0958c6275f12aa75f11d79029099	390	303
00bf0958c6275f12aa75f11d79029099	391	196
00bf0958c6275f12aa75f11d79029099	398	78
00bf0958c6275f12aa75f11d79029099	399	127
00bf0958c6275f12aa75f11d79029099	419	79
00bf0958c6275f12aa75f11d79029099	422	122
00bf0958c6275f12aa75f11d79029099	424	108
00bf0958c6275f12aa75f11d79029099	426	214
00bf0958c6275f12aa75f11d79029099	429	40
00bf0958c6275f12aa75f11d79029099	430	93
00bf0958c6275f12aa75f11d79029099	431	77
00bf0958c6275f12aa75f11d79029099	454	101
00bf0958c6275f12aa75f11d79029099	459	418
00bf0958c6275f12aa75f11d79029099	462	155
00bf0958c6275f12aa75f11d79029099	472	517
00bf0958c6275f12aa75f11d79029099	474	89
00bf0958c6275f12aa75f11d79029099	480	47
00bf0958c6275f12aa75f11d79029099	489	92
00bf0958c6275f12aa75f11d79029099	492	475
00bf0958c6275f12aa75f11d79029099	501	11
00bf0958c6275f12aa75f11d79029099	511	241
00bf0958c6275f12aa75f11d79029099	547	204
00bf0958c6275f12aa75f11d79029099	555	412
00bf0958c6275f12aa75f11d79029099	563	6
00bf0958c6275f12aa75f11d79029099	565	15
00bf0958c6275f12aa75f11d79029099	574	54
00bf0958c6275f12aa75f11d79029099	575	37
00bf0958c6275f12aa75f11d79029099	576	535
00bf0958c6275f12aa75f11d79029099	587	153
00bf0958c6275f12aa75f11d79029099	588	12
00bf0958c6275f12aa75f11d79029099	613	727
00bf0958c6275f12aa75f11d79029099	615	511
00bf0958c6275f12aa75f11d79029099	617	134
00bf0958c6275f12aa75f11d79029099	623	241
00bf0958c6275f12aa75f11d79029099	650	318
00bf0958c6275f12aa75f11d79029099	651	605
00bf0958c6275f12aa75f11d79029099	652	564
00bf0958c6275f12aa75f11d79029099	653	233
00bf0958c6275f12aa75f11d79029099	654	142
00bf0958c6275f12aa75f11d79029099	655	97
00bf0958c6275f12aa75f11d79029099	664	467
00bf0958c6275f12aa75f11d79029099	672	865
00bf0958c6275f12aa75f11d79029099	673	326
