sample,SampleDate,Plate_No,AnimalID,Origcolony,CurrentCol,BioSample
383,2019-09-07,1,BEM017,Bennett,Bennett,SAMN23246719
382,2019-09-07,2,TSM013,Tesla,Bennett,SAMN23246815
386,2019-09-07,3,SAF016,Sapolsky,BST001,SAMN23246992
381,2019-09-07,1,SAM015,Sapolsky,Moniz,SAMN23246735
380,2019-09-07,1,MOF006,Moniz,Moniz,SAMN23246753
390,2019-09-08,1,PNF020,Pangolin,Bennett,SAMN23246722
391,2019-09-08,1,MEF018,Mendel,Moniz,SAMN23246739
398,2019-09-09,2,CRM015,Crick,Mandela,SAMN23246813
399,2019-09-09,1,VIF006,Virunga,Moniz,SAMN23246805
419,2019-09-11,3,TSF015,Tesla,Lonely 2,SAMN23246975
426,2019-09-11,2,MAF013,Mandela,Mandela,SAMN23246824
422,2019-09-11,1,VIM011,Virunga,Virunga,SAMN23246800
424,2019-09-11,3,MEM017,Mendel,Virunga,SAMN23246945
429,2019-09-12,1,Z3M041,Zunki 3,Tesla,SAMN23246749
432,2019-09-13,2,DVM045,DaVinci,Gemsbok 3,SAMN23246871
431,2019-09-13,2,LAM017,Lacey,Lacey,SAMN23246851
430,2019-09-13,3,Z3F044,Zunki 3,Lacey,SAMN23246916
454,2019-09-18,2,SAF011,Sapolsky,Sapolsky,SAMN23246864
459,2019-09-20,2,TSF017,Tesla,Tesla,SAMN23246818
462,2019-09-23,2,DVM042,DaVinci,Pangolin,SAMN23246810
474,2019-09-24,3,G13F005,Gemsbok 13,Gemsbok 13,SAMN23246910
472,2019-09-24,2,MOM001,Moniz,Moniz,SAMN23246855
480,2019-09-25,1,G11F024,Gemsbok 11,Gemsbok 11,SAMN23246762
489,2019-09-27,2,G3M060,Gemsbok 3,Gemsbok 3,SAMN23246892
492,2019-09-29,3,WEM014,West,Gemsbok 13,SAMN23246979
501,2019-10-01,2,G3M057,Gemsbok 3,Gemsbok 3,SAMN23246840
511,2019-10-03,2,WEM021,West,West,SAMN23246834
547,2019-10-08,3,CUF028,Curie,DaVinci,SAMN23246928
555,2019-10-09,2,L2M003,Lonely 2,Lonely 2,SAMN23246884
563,2019-10-10,2,PNF026,Pangolin,Pangolin,SAMN23246860
565,2019-10-15,2,VIF007,Virunga,Gemsbok 11,SAMN23246837
574,2019-10-15,2,MEM036,Mendel,Mendel,SAMN23246842
576,2019-10-15,2,MEM002,Mendel,Mendel,SAMN23246898
575,2019-10-15,3,Z3M052,Zunki 3,Zunki 3,SAMN23246977
588,2019-10-16,2,G3F009,Crick,Crick,SAMN23246817
587,2019-10-16,3,WEF004,West,Crick,SAMN23246932
613,2019-10-19,3,TSF037,Tesla,Tesla,SAMN23246953
615,2019-10-21,3,DVF032,DaVinci,DaVinci,SAMN23246961
617,2019-10-23,2,WEM010,West,West,SAMN23246889
623,2019-10-26,3,VIF003,Virunga,Virunga,SAMN23246966
664,2019-11-05,3,BEF037,Bennett,Bennett,SAMN23246987
650,2019-11-05,1,DVM021,DaVinci,DaVinci,SAMN23246760
653,2019-11-05,2,PNF021,Pangolin,Gemsbok 3,SAMN23246862
654,2019-11-05,3,TSF023,Tesla,Rappaz,SAMN23246941
652,2019-11-05,1,CRF018,Crick,Sapolsky,SAMN23246751
651,2019-11-05,3,SAF003,Sapolsky,Sapolsky,SAMN23246988
655,2019-11-05,2,CUF021,Curie,Zunki 3,SAMN23246883
677,2019-11-07,3,RAM020,Rappaz,Rappaz,SAMN23246912
676,2019-11-07,1,TSM052,Tesla,Tesla,SAMN23246764
673,2019-11-07,1,Z3M046,Zunki 3,Zunki 3,SAMN23246754
672,2019-11-07,1,TSM040,Tesla,Zunki 3,SAMN23246779
685,2019-11-09,1,CUF012,Curie,Curie,SAMN23246720
686,2019-11-09,2,CUM022,Curie,Curie,SAMN23246812
